country;year;Hapiness perception;Log GDP per capita;Healthy life expectancy at birth;Social support, %;Freedom to make life choices, %;Perceptions of corruption, %;Confidence in national government, %
Afghanistan;2016;4,220168591;7,49728775;49,87126541;55,90717793;52,25661993;79,3245554;32,49895573
Albania;2016;4,511100769;9,282299995;68,69837952;63,84114623;72,98189402;90,10707736;40,09098113
Algeria;2016;5,388170719;9,549138069;64,82994843;74,8149693;0;0;0
Argentina;2016;6,427221298;9,999956476;67,44399261;88,28191161;84,77022052;85,09244919;41,95618331
Armenia;2016;4,325471878;8,98956871;65,4094696;70,92183232;61,0986948;92,1421051;18,47130358
Australia;2016;7,250080109;10,69628143;72,52162933;94,23342347;92,23157167;39,85451162;45,27317584
Austria;2016;7,048071861;10,69459534;71,64565277;92,63185859;88,85139823;52,36409903;43,26382279
Azerbaijan;2016;5,303894997;9,691197395;62,04492569;77,72710323;71,25731707;60,67708135;73,40521216
Bahrain;2016;6,169673443;10,70677662;65,96392059;86,27001047;88,86910677;0;0
Bangladesh;2016;4,5561409;8,100569725;62,04618835;64,91169333;87,47004867;68,78536344;84,54290628
Belarus;2016;5,177899361;9,684698105;65,76477051;92,65511036;65,82288146;66,40551686;45,26690245
Belgium;2016;6,948936462;10,63217831;71,52167511;92,89640784;86,57590151;49,66591001;41,91775024
Benin;2016;4,007357597;7,62152338;50,76924515;49,28158522;77,97952294;83,7715745;63,74453902
Bolivia;2016;5,769723415;8,797091484;60,04561996;79,59587574;88,17487359;85,25929451;40,17422795
Bosnia and Herzegovina;2016;5,180865288;9,240181923;67,77558136;80,77051044;63,34537268;95,73119879;21,21884972
Botswana;2016;3,498936653;9,624712944;55,19362259;76,83027983;85,16948819;72,91718125;80,31308055
Brazil;2016;6,374817371;9,525510788;64,83092499;91,24551415;80,65715432;78,10927629;26,41402483
Bulgaria;2016;4,837560654;9,766366959;68,2297287;92,60360599;70,02655268;93,59881878;22,12417722
Burkina Faso;2016;4,205634594;7,376116753;51,10700226;76,44011378;64,46815133;72,05424309;66,3711369
Cambodia;2016;4,461259365;8,146677971;58,53693771;74,5901227;95,78214884;84,04168487;0
Cameroon;2016;4,816232204;8,020015717;48,33827972;65,92997909;71,25070095;87,94505596;62,12210655
Canada;2016;7,244845867;10,67451286;72,2983017;92,43925214;91,24239087;38,50904405;61,81952953
Central African Republic;2016;2,693061113;6,632111111;44,02322006;29,018417;62,40565181;85,90730429;74,87545609
Chad;2016;4,029350281;7,584248066;45,10814285;61,62048578;52,52221227;81,97888732;51,30217671
Chile;2016;6,579056263;10,01003551;71,83113861;84,1388166;65,22897482;85,81249714;20,35388649
China;2016;5,32495594;9,561012268;69,0667038;74,17030334;0;0;0
Colombia;2016;6,233715057;9,48623085;64,00605774;88,19003701;83,49661231;89,75538611;26,12511814
Congo Brazzaville;2016;4,119493484;8,711130142;53,89886475;61,54490113;78,59065533;79,03857231;48,30752611
Congo (Kinshasa);2016;4,521935463;6,632929325;50,29008102;86,41545177;63,73667121;87,49996424;28,18249464
Costa Rica;2016;7,135617733;9,609200478;69,66177368;90,07012844;87,2971952;78,05620432;27,90275812
Cyprus;2016;5,794618607;10,32312202;72,64193726;78,64384651;75,62209964;89,7639513;33,39095116
Czech Republic;2016;6,735627174;10,3233633;69,42073059;93,05928946;85,03282666;90,04307389;41,51207209
Denmark;2016;7,55778265;10,68310165;70,91555023;95,44515014;94,82305646;20,98933756;46,76606953
Dominican Republic;2016;5,238698483;9,538721085;63,30880356;89,47534561;87,27124333;73,71829748;54,94248271
Ecuador;2016;6,115437508;9,223009109;67,1619873;84,23520923;84,63363051;77,40841508;47,44277894
Egypt;2016;4,556740761;9,246436119;61,44123077;80,92185855;65,58452249;81,75274134;61,91309094
El Salvador;2016;6,139824867;9,017533302;64,10896301;79,36599851;79,98470068;79,73120213;25,17047822
Estonia;2016;5,649675369;10,22024822;67,37776184;93,77151132;84,27706957;63,90852928;33,98343027
Ethiopia;2016;4,297848701;7,377803802;56,04902267;71,87187076;74,43076968;70,28808594;74,89455938
Finland;2016;7,659843445;10,56876278;71,38269043;95,39404511;94,83721852;24,96595681;48,57272506
France;2016;6,475208759;10,53624725;72,59750366;88,49229217;78,67804766;62,26970553;28,39781642
Gabon;2016;4,831764221;9,860257149;56,11114502;78,00489664;69,89423633;81,65635467;37,80697584
Georgia;2016;4,448386192;9,159031868;65,85913849;53,34122777;60,64683795;56,09240532;34,45411325
Germany;2016;6,873763084;10,70416832;70,86317444;90,6029284;87,05150485;44,59221363;55,26135564
Ghana;2016;4,514411449;8,310908318;53,69581985;64,7303164;75,11683702;89,39552307;51,66046023
Greece;2016;5,302619457;10,1151228;71,25013733;80,26058674;48,16168547;89,8470819;13,2486552
Guatemala;2016;6,358916283;8,903938293;62,16745377;81,12354875;86,26757264;81,20300174;46,89621925
Guinea;2016;3,602854729;7,047148228;50,49309921;67,54470468;72,56851792;80,27811646;46,56958282
Haiti;2016;3,352300167;7,409858704;53,20775986;58,37424397;30,35404086;83,85231495;14,60646242
Honduras;2016;5,648154736;8,49257946;63,58609009;77,3909986;85,00466943;79,28751707;38,92745078
Hong Kong;2016;5,498420715;10,89826298;75,99969482;83,20779204;79,97434139;40,28125703;44,96103823
Hungary;2016;5,448901653;10,12352848;67,30926514;89,95115757;55,39517403;92,41858125;30,37723303
Iceland;2016;7,510034561;10,68902969;72,05354309;98,4940052;95,16095519;71,92995548;36,35182977
India;2016;4,179177284;8,713158607;59,34959793;61,35293841;82,00687766;76,47221088;73,21045995
Indonesia;2016;5,136325359;9,287412643;60,47728348;79,18305993;82,99416304;88,96774054;80,08807302
Iran;2016;4,652730942;9,748827934;65,6570816;56,62811995;0;0;70,94711661
Iraq;2016;4,412537098;9,586719513;60,85366058;71,89567089;66,61601663;79,88664508;41,86043143
Ireland;2016;7,04073143;10,90115261;71,40406799;95,81440091;87,45891452;39,85443115;57,47397542
Israel;2016;7,159010887;10,36746407;72,3062439;88,96607757;77,22973228;80,40565848;43,81331801
Italy;2016;5,95452404;10,43184376;72,72756195;92,72128344;62,37416267;90,28012156;23,75990897
Japan;2016;5,954650879;10,49381065;75,08885193;89,97738361;83,60646367;69,76393461;36,22006476
Jordan;2016;5,27128458;9,239942551;64,30827332;81,99447393;77,13506222;0;0
Kazakhstan;2016;5,533551693;10,08656502;65,25882721;92,78106689;78,2805562;70,20166516;75,97261667
Kenya;2016;4,396127701;8,00462532;54,58264542;70,59215903;74,85082746;82,84115791;57,76540637
Kosovo;2016;5,759412289;9,164076805;62,2653923;82,38027096;82,73985982;94,08979416;31,37645721
Kuwait;2016;5,947194576;11,08980465;65,22395325;84,52220559;84,09671783;0;0
Kyrgyzstan;2016;4,856534004;8,091743469;62,5934639;91,4375484;81,39392138;91,69228077;52,7570188
Latvia;2016;5,940446377;10,05293655;65,52488708;91,70739651;68,52992773;86,76396012;31,52613044
Lebanon;2016;5,27072382;9,456853867;68,87224579;82,78859258;65,73574543;85,31144857;13,79514337
Lesotho;2016;3,808204889;7,85811615;43,37739563;79,80592847;72,94898629;74,28733706;60,92690229
Liberia;2016;3,354676008;6,681718826;51,54916;64,2614603;76,34760141;90,12674689;54,4246912
Libya;2016;5,43358326;9,625382423;61,29749298;87,60658503;82,23848343;0;0
Lithuania;2016;5,865552425;10,21611309;65,05998993;93,78733635;61,42393351;94,93926764;27,96385586
Luxembourg;2016;6,967340946;11,45924854;72,89732361;94,12605762;88,2365346;35,63363254;67,89778471
Macedonia;2016;5,34574604;9,486315727;65,69872284;87,1212244;70,61793208;86,97190285;25,69541335
Madagascar;2016;3,663085938;7,23338604;56,64056778;74,64969754;56,96454048;86,41711473;49,01991785
Malawi;2016;3,476492643;7,01369524;55,28212357;52,42996216;80,9884131;82,36150146;55,25344014
Mali;2016;4,016027927;7,756872654;49,59024429;83,62545371;69,60073709;86,23266816;52,41993666
Malta;2016;6,590842247;10,32312202;71,65420532;93,03693771;91,6023612;69,64946389;61,88182831
Mauritania;2016;4,472149372;8,249141693;53,37380981;78,48268747;46,65614665;84,18351412;20,89292258
Mauritius;2016;5,610003471;9,852088928;65,48225403;83,60321522;81,91756606;89,06613588;56,5379262
Mexico;2016;6,824172974;9,724581718;67,96994781;89,34925795;75,16130805;80,85794449;27,79440582
Moldova;2016;5,577784061;8,46979332;63,90820694;83,73214602;55,73694706;96,94829583;8,406124264
Mongolia;2016;5,056999683;9,337590218;62,92665482;94,74893808;75,97409487;90,0452137;34,93828773
Montenegro;2016;5,304066181;9,651939392;66,52256012;86,57436967;56,86336756;84,89665985;32,59592354
Morocco;2016;5,38630724;8,907473564;64,11890411;65,54093361;81,65560961;71,73561454;0
Myanmar;2016;4,623119831;8,100569725;57,22917938;79,34619784;87,74911761;60,72865725;0
Nepal;2016;5,099539757;7,740420818;61,05636597;83,7043643;83,94884467;81,71148896;49,0016222
Netherlands;2016;7,540877342;10,75715065;71,26724243;92,59442091;90,7310009;43,33042502;57,2273314
New Zealand;2016;7,225687981;10,46762657;71,47316742;93,66028905;92,65760183;27,8270781;56,96901679
Nicaragua;2016;6,012739658;8,526226997;66,10491943;85,27024388;71,65342569;73,14649224;58,65497589
Niger;2016;4,234645844;6,812114716;53,15184021;68,28282475;70,19273043;81,44938946;57,24675059
Nigeria;2016;5,219567776;8,619102478;45,47058487;80,4766953;79,76905107;90,47068357;41,43260717
Northern Cyprus;2016;5,827127934;9,904911111;;80,76902628;79,62338328;67,01914072;44,05948818
Norway;2016;7,596331596;11,06857204;70,78459167;95,97428441;95,43523192;40,9666121;65,76462388
Pakistan;2016;5,548508167;8,488559723;57,39804459;62,69212961;63,41828108;79,25300598;45,56831717
Palestinian Territories;2016;4,906618118;8,46180439;62,9549942;81,77709579;60,76694131;81,24646544;46,37715518
Panama;2016;6,117638111;9,990102768;67,82401276;88,24602365;88,44797611;83,69767666;32,98944831
Paraguay;2016;5,801380157;9,081317902;63,41120911;93,986696;85,35342813;75,6116271;28,45597565
Peru;2016;5,700628757;9,386458397;65,26748657;80,28564453;82,98438787;86,591959;28,19233835
Philippines;2016;5,430832863;8,890526772;59,59458923;82,12987185;90,75957537;79,19622064;77,16267109
Poland;2016;6,162076473;10,15000153;67,66214752;91,73988104;87,07075119;84,7753942;38,27131987
Portugal;2016;5,446637154;10,20860291;70,75627899;90,46353698;83,80693197;92,21923947;35,45424044
Romania;2016;5,96887064;9,942670822;66,94844818;80,92291951;82,17206001;94,90445256;18,13546568
Russia;2016;5,85494566;10,0623064;62,20749664;91,09273553;71,3606298;92,54627228;58,43037963
Rwanda;2016;3,332989931;7,455229282;55,09080887;66,51309133;91,0736382;15,86013883;0
Saudi Arabia;2016;6,473921299;10,8228693;63,8508606;88,99323344;77,42677331;0;0
Senegal;2016;4,59453392;7,769750595;57,88771057;83,89943838;74,3729651;79,43537235;63,08761835
Serbia;2016;5,752754688;9,484399796;66,06748199;89,48949575;61,43708229;88,9765203;45,01231015
Sierra Leone;2016;4,732953072;7,35323;44,01073456;65,67234993;68,12021136;86,32648587;70,09102702
Singapore;2016;6,033480644;11,30000401;76,40869904;92,51282215;90,37356377;4,731115326;93,06172729
Slovakia;2016;5,993163109;10,24734116;68,16325378;94,51791048;70,00985146;91,66091681;37,22221553
Slovenia;2016;5,936821461;10,28735638;70,80030823;93,44873428;90,35511017;83,84743929;24,98451024
Somalia;2016;4,667941093;7,111111111;47,56276321;59,44165587;91,73228145;44,08017397;70,06816864
South Africa;2016;4,769739628;9,415353775;50,19886398;87,53897548;77,41364241;81,28589988;48,31222892
South Korea;2016;5,970564365;10,46794987;74,85412598;81,11634851;59,09560323;86,18163466;23,70815724
South Sudan;2016;2,888112307;7,461285591;49,40060043;53,21518183;43,99190247;78,53177786;45,62875628
Spain;2016;6,318612099;10,42780018;73,95972443;94,17368174;76,81737542;81,85585737;30,2516669
Sweden;2016;7,368744373;10,7443037;71,96144867;91,2060678;91,80364013;24,61824417;48,57913256
Switzerland;2016;7,458519936;10,91751099;72,95709991;92,76282787;93,39470863;30,15629649;79,85367179
Taiwan;2016;6,512850761;10,70111111;70,98000336;89,49892521;71,89251781;81,05210066;40,47133327
Tajikistan;2016;5,103721142;7,886899471;61,75904465;85,66569686;70,30268908;63,18878531;0
Tanzania;2016;2,90273428;7,867351055;56,47374725;63,77559304;77,54849195;73,92472625;89,95608687
Thailand;2016;6,07363987;9,659873009;65,79955292;90,75436592;92,41456985;87,79783845;64,5925045
Togo;2016;3,878578424;7,254558563;52,32989883;50,94409585;73,0286777;81,50441647;48,58599007
Tunisia;2016;4,521453381;9,288295746;64,56181335;70,18221021;61,4438355;81,07456565;34,74312425
Turkey;2016;5,326221943;9,873839378;65,59723663;87,99946308;64,41467404;76,37065649;58,37282538
Turkmenistan;2016;5,887051582;9,687180519;58,56221008;92,90322661;74,85044003;0;0
Uganda;2016;4,233261108;7,465327263;51,46192932;75,35402179;73,94097447;81,10697865;67,15658307
Ukraine;2016;4,028690338;8,929476738;63,21360397;88,49613667;50,25418997;89,10751343;12,5653401
United Arab Emirates;2016;6,83095026;11,11108875;68,51036072;84,93798375;94,91195083;0;0
United Kingdom;2016;6,8242836;10,57133293;71,13896179;95,40681839;82,11921453;45,83132863;40,86320698
United States;2016;6,803599834;10,87970638;70,12535095;89,67512846;75,78930855;73,89195561;29,72056568
Uruguay;2016;6,171485424;9,904924393;68,25261688;90,03809094;88,63719106;67,62127876;42,31325984
Uzbekistan;2016;5,892539024;8,692045212;60,62257385;94,51021552;98,38030338;0;0
Venezuela;2016;4,041114807;9,534058571;64,74925995;90,19492865;45,7601577;89,01246786;16,40215218
Vietnam;2016;5,062267303;8,692119598;65,94213867;87,63235807;89,43511248;79,92401719;0
Yemen;2016;3,825630903;7,76911111;54,24263;77,54070163;53,29640508;0;26,75811946
Zambia;2016;4,347543716;8,198633194;52,88932419;76,70466304;81,15745187;77,06435919;69,68915462
Zimbabwe;2016;3,7354002;7,422307968;51,72790909;76,8425405;73,29714894;72,36120105;69,9344039
